index,Resource_Factor,Algorithm,Total_Delay_D_mean,Total_Delay_D_std,Effective_Delay_mean,Effective_Delay_std,Avg_QoS_Q_mean,Avg_QoS_Q_std,Comp_Delay_mean,Comp_Delay_std,Comm_Delay_mean,Comm_Delay_std,Mem_Utilization_mean,Mem_Utilization_std,Penalty_Score_mean,Penalty_Score_std,Fitness_mean,Fitness_std
36,1.2,drs,0.5160573438590725,0.3532406699712892,0.8562610297098578,0.6352513699243267,3.5754596435509187,0.04792141909041774,0.4793232544505314,0.3558081120095206,0.03673408940854119,0.0031333146302516546,0.9562066368518518,0.07356837123518821,231171.71021083402,246990.04077274975,-231170.7150379098,246991.42043340558
37,1.2,ffd-m,0.5184718835318605,0.4116516265336052,0.8001921320289271,0.6429887737266757,3.5662282609182867,0.04970934087422967,0.48450441188178067,0.4113691693273501,0.03396747165007978,0.009285930096277185,0.9629537414814815,0.07470953387882028,196567.50512725994,218999.68187005608,-196566.53125841665,219001.16845994338
38,1.2,greedy-m,0.4781647115044434,0.31548731995402324,0.8173051719200879,0.5804028596412384,3.572980015546122,0.04610290978864091,0.4374402248453353,0.31513405869411854,0.04072448665910809,0.003941083562050916,0.9464995512962963,0.0716891659466328,255968.0604466241,286381.94569386035,-255966.87829016606,286382.9243069127
39,1.2,lego,0.4638776568291359,0.3517626966003754,0.8033141975619358,0.623896417297496,3.572365986707376,0.044848807331113356,0.4305446059557001,0.3515542943139351,0.03333305087343579,0.008299468829368106,0.9539963964814815,0.07308515535962147,229530.80943007348,220340.68087651074,-229529.5564523709,220342.1409814361
40,1.2,our,0.33111230549246523,0.21559651473330477,0.6868960859639319,0.8758732852915063,3.3783035115203623,0.21955117346900796,0.2994480847848813,0.21409696456728064,0.03166422070758397,0.008458218537807653,0.9304082005555555,0.11410502529545569,236494.9065448503,384309.82024684193,-236493.18380286623,384310.84834993014
41,1.2,random-m,0.5391492431363372,0.3530092043287299,0.9063894402731668,0.5723059995850048,3.5761865280413483,0.04469791076643247,0.49981101352770363,0.35477603982194567,0.039338229608633576,0.003485446809538255,0.9487183299999999,0.07247038468387598,261286.22857614467,236325.79124258296,-261285.3481358323,236327.06438708372
42,1.5,cds-m,0.15238246464418798,0.02911507855738887,0.15238246464418798,0.02911507855738887,3.581325472615153,0.03601166541788068,0.12526123984260068,0.027017943812280287,0.027121224801587303,0.00896675723668567,0.6851948207407408,0.1336782764454139,0.0,0.0,2.8194131493942125,0.16740837539055178
43,1.5,drs,0.16283937231614565,0.02677762167053578,0.16283937231614565,0.02677762167053578,3.581325472615153,0.03601166541788069,0.12526123984260068,0.027017943812280287,0.03757813247354498,0.003936399188088634,0.6851948207407408,0.1336782764454139,0.0,0.0,2.7671286110344244,0.15567669764958258
44,1.5,ffd-m,0.1497067360727594,0.03448745062799476,0.1497067360727594,0.03448745062799476,3.581325472615153,0.03601166541788068,0.12526123984260068,0.02701794381228029,0.02444549623015873,0.010639360466011574,0.6851948207407408,0.1336782764454139,0.0,0.0,2.8327917922513555,0.19379173865092236
45,1.5,greedy-m,0.16372513395635727,0.025862310429039765,0.16372513395635727,0.025862310429039765,3.581325472615153,0.03601166541788069,0.12526123984260065,0.02701794381228029,0.038463894113756614,0.0031612342670978115,0.6851948207407408,0.1336782764454139,0.0,0.0,2.7626998028333665,0.15016935946919505
46,1.5,lego,0.15238246464418798,0.02911507855738887,0.15238246464418798,0.02911507855738887,3.581325472615153,0.03601166541788068,0.12526123984260068,0.027017943812280287,0.027121224801587303,0.00896675723668567,0.6851948207407408,0.1336782764454139,0.0,0.0,2.8194131493942125,0.16740837539055178
47,1.5,our,0.14372985798740584,0.029598043548855778,0.14372985798740584,0.029598043548855778,3.5862668140364553,0.03419129084576193,0.11861341651915185,0.02613658975867145,0.02511644146825397,0.00842043424764779,0.6375766411851852,0.14643930169703764,0.0,0.0,2.8676175240994266,0.16672998319280094
48,1.5,random-m,0.1633543844854578,0.026694184703842792,0.1633543844854578,0.026694184703842792,3.581325472615153,0.03601166541788068,0.12526123984260065,0.027017943812280287,0.038093144642857145,0.0029301281067512343,0.6851948207407408,0.1336782764454139,0.0,0.0,2.7645535501878635,0.1555241065032026
49,2.0,cds-m,0.09595277229076588,0.024338174638369618,0.09595277229076588,0.024338174638369618,3.579361805749395,0.029453389158454933,0.07831155006854365,0.01461287422172903,0.017641222222222218,0.013604111159964653,0.3937661698888889,0.07801927126097849,0.0,0.0,3.0995979442955655,0.12636198129481538
50,2.0,drs,0.11758323988335846,0.013438857170715217,0.11758323988335846,0.013438857170715217,3.579361805749395,0.029453389158454933,0.07831155006854365,0.014612874221729032,0.03927168981481481,0.00306118351611636,0.3937661698888889,0.07801927126097849,0.0,0.0,2.9914456063326025,0.07949074678629432
51,2.0,ffd-m,0.08736025377224735,0.022639141676184943,0.08736025377224735,0.022639141676184943,3.579361805749395,0.029453389158454933,0.07831155006854365,0.014612874221729034,0.009048703703703703,0.009865196029826495,0.3937661698888889,0.07801927126097849,0.0,0.0,3.142560536888158,0.11543138511788999
52,2.0,greedy-m,0.11599599914261774,0.013736750858979642,0.11599599914261774,0.013736750858979642,3.579361805749395,0.029453389158454933,0.07831155006854365,0.014612874221729032,0.037684449074074075,0.0033332230786271193,0.3937661698888889,0.07801927126097849,0.0,0.0,2.9993818100363066,0.07733394572121562
53,2.0,lego,0.09595277229076588,0.024338174638369618,0.09595277229076588,0.024338174638369618,3.579361805749395,0.029453389158454933,0.07831155006854365,0.01461287422172903,0.017641222222222218,0.013604111159964653,0.3937661698888889,0.07801927126097849,0.0,0.0,3.0995979442955655,0.12636198129481538
54,2.0,our,0.092835382097739,0.026266109114476747,0.092835382097739,0.026266109114476747,3.5848144299270155,0.02916408382270385,0.0750691598755168,0.014938270347383775,0.01776622222222222,0.01419720071521665,0.35926131033333336,0.07517317055224268,0.0,0.0,3.1206375194383207,0.1367850118158262
55,2.0,random-m,0.1178952769203955,0.01377971686839594,0.1178952769203955,0.01377971686839594,3.579361805749395,0.029453389158454933,0.07831155006854365,0.014612874221729029,0.03958372685185185,0.0023543280335712657,0.3937661698888889,0.07801927126097849,0.0,0.0,2.9898854211474175,0.08052540933074623
