Algorithm,Total_Delay_D,Effective_Delay,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score,Fitness,Converged_Status,Experiment,Variable_Value,Resource_Factor,Replicate,Replicate_Seed
drs,2.7086254047239775,24.272803238736422,3.1202288730016257,2.670756071390644,0.03786933333333333,0.9628083037037037,5218312.271297988,-5218322.6941961385,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,2,44
our,1.5961682053135098,23.4889071068744,2.507204273994866,1.564307788646843,0.03186041666666667,0.9910689703703703,4182833.5442922986,-4182839.017929051,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,3,45
ffd-m,3.1954551761888577,38.812588792188855,2.989521545309953,3.1621218428555244,0.03333333333333333,0.9223951925925926,7746943.544288716,-7746956.532043052,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,3,45
cds-m,3.1954551761888577,38.812588792188855,2.989521545309953,3.1621218428555244,0.03333333333333333,0.9223951925925926,7746943.544288716,-7746956.532043052,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,3,45
random-m,3.1954551761888577,38.812588792188855,2.989521545309953,3.1621218428555244,0.03333333333333333,0.9223951925925926,7746943.544288716,-7746956.532043052,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,3,45
greedy-m,3.1954551761888577,38.812588792188855,2.989521545309953,3.1621218428555244,0.03333333333333333,0.9223951925925926,7746943.544288716,-7746956.532043052,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,3,45
lego,3.1954551761888577,38.812588792188855,2.989521545309953,3.1621218428555244,0.03333333333333333,0.9223951925925926,7746943.544288716,-7746956.532043052,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,3,45
drs,3.1954551761888577,38.812588792188855,2.989521545309953,3.1621218428555244,0.03333333333333333,0.9223951925925926,7746943.544288716,-7746956.532043052,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,3,45
our,1.2082773152257509,18.534608039065752,2.534836472605467,1.189177315225751,0.019100000000000002,0.9935522814814814,3411541.9853271,-3411545.4918772033,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,4,46
ffd-m,2.733150039798605,17.2416147000795,2.784811676099216,2.7151500397986053,0.018000000000000002,0.7547596074074074,5167894.057393872,-5167904.938332395,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,4,46
cds-m,2.733150039798605,17.2416147000795,2.784811676099216,2.7151500397986053,0.018000000000000002,0.7547596074074074,5167894.057393872,-5167904.938332395,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,4,46
random-m,2.733150039798605,17.2416147000795,2.784811676099216,2.7151500397986053,0.018000000000000002,0.7547596074074074,5167894.057393872,-5167904.938332395,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,4,46
greedy-m,2.733150039798605,17.2416147000795,2.784811676099216,2.7151500397986053,0.018000000000000002,0.7547596074074074,5167894.057393872,-5167904.938332395,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,4,46
lego,2.733150039798605,17.2416147000795,2.784811676099216,2.7151500397986053,0.018000000000000002,0.7547596074074074,5167894.057393872,-5167904.938332395,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,4,46
drs,2.733150039798605,17.2416147000795,2.784811676099216,2.7151500397986053,0.018000000000000002,0.7547596074074074,5167894.057393872,-5167904.938332395,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,4,46
our,0.8843903238473645,6.337666648256253,2.530042467237977,0.8530896828217235,0.03130064102564103,0.9955840962962963,1569626.709081652,-1569628.6009908041,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,5,47
ffd-m,2.6042129931144715,19.705664379582025,3.0810103874424564,2.570371326447805,0.03384166666666667,0.9645715037037037,5369178.657854953,-5369188.597909531,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,5,47
cds-m,2.609024784063886,19.71047617053144,3.0810103874424564,2.571691450730553,0.03733333333333333,0.9643587037037037,5369178.657854953,-5369188.621968485,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,5,47
random-m,2.6042129931144715,19.705664379582025,3.0810103874424564,2.570371326447805,0.03384166666666667,0.9645715037037037,5369178.657854953,-5369188.597909531,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,5,47
greedy-m,2.609024784063886,19.71047617053144,3.0810103874424564,2.571691450730553,0.03733333333333333,0.9643587037037037,5369178.657854953,-5369188.621968485,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,5,47
lego,2.609024784063886,19.71047617053144,3.0810103874424564,2.571691450730553,0.03733333333333333,0.9643587037037037,5369178.657854953,-5369188.621968485,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,5,47
drs,2.6042129931144715,19.705664379582025,3.0810103874424564,2.570371326447805,0.03384166666666667,0.9645715037037037,5369178.657854953,-5369188.597909531,"{'congested': True, 'oom': False}",resource_factor,0.3,0.3,5,47
